Match,Opponent,Result,Score_NAVI,Score_Opponent,Game_Played,Player_Mid,Player_Roam,Player_Gold,Player_Exp,Player_Jungler
1,RRQ,Lose,0,2,2,"xMagic,xMagic","Hanafi,Hanafi","Xyve,Xyve","Karss,Karss","Aether,Aether"
2,TLID,Lose,1,2,3,"xMagic,xMagic,xMagic","Hanafi,Hanafi,Hanafi","Xyve,Xyve,Xyve","Karss,Karss,Karss","Aether,Aether,Aether"
3,DEWA,Lose,0,2,2,"xMagic,xMagic","Hanafi,Hanafi","Xyve,Xyve","Karss,Karss","Woshipaul,Woshipaul"
4,AE,Lose,1,2,3,"xMagic,xMagic,xMagic","Hanafi,Hanafi,Hanafi","Xyve,Xyve,Xyve","Karss,Karss,Karss","Woshipaul,Woshipaul,Woshipaul"
5,EVOS,Lose,0,2,2,"xMagic,xMagic","Hanafi,Hanafi","Xyve,Xyve","Karss,Karss","Aether,Aether"
6,BTR,Lose,1,2,3,"xMagic,xMagic,xMagic","Hanafi,Hanafi,Hanafi","Xyve,Xyve,Xyve","Karss,Karss,Karss","Aether,Aether,Aether"
7,ONIC ID,Lose,1,2,3,"xMagic,xMagic,xMagic","Karss,Karss,Karss","Xyve,Xyve,Xyve","bq syaii,bq syaii,bq syaii","Aether,Aether,Woshipaul"
8,GEEK,Lose,0,2,2,"xMagic,xMagic","Karss,Karss","Xyve,Xyve","bq syaii,bq syaii","Woshipaul,Woshipaul"
9,AE,Lose,1,2,3,"xMagic,xMagic,xMagic","Karss,Karss,Karss","Xyve,Xyve,Xyve","bq syaii,bq syaii,bq syaii","Aether,Aether,Aether"
10,DEWA,Lose,0,2,2,"xMagic,xMagic","Karss,Karss","Xyve,Xyve","bq syaii,bq syaii","Aether,Aether,"
11,TLID,Lose,0,2,2,"xMagic,xMagic","Karss,Karss","Xyve,Xyve","bq syaii,bq syaii","Woshipaul,Woshipaul"
12,ONIC ID,Lose,0,2,2,"xMagic,xMagic","Karss,Karss","Xyve,Xyve","bq syaii,bq syaii","Woshipaul,Woshipaul"
13,BTR,Lose,0,2,2,"xMagic,xMagic","Karss,Karss","Xyve,Xyve","bq syaii,bq syaii","Woshipaul,Woshipaul"
14,GEEK,Lose,0,2,2,"xMagic,xMagic","Karss,Karss","Xyve,Xyve","Febbb,Febbb","Woshipaul,Woshipaul"
15,EVOS,Lose,1,2,3,"xMagic,xMagic,xMagic","Karss,Karss,Karss","Xyve,Xyve,Xyve","Febbb,Febbb,Febbb","Woshipaul,Woshipaul,Woshipaul"
16,RRQ,Lose,0,2,2,"xMagic,xMagic","Karss,Karss","Xyve,Xyve","Febbb,Febbb","Woshipaul,Woshipaul"
