No.;Team;Team Code;Hero;Pick Count;Pick Rate%;BP Count;BP Rate%;Ban Count;Ban Rate%;Enemy Ban Count;Enemy Ban Rate%;Game Win Count;Game Win Rate%;Total Kills;Total Deaths;Total Assists;KDA
1;ONIC;ID-TP0007;Tigreal;1;2;5;8.33;4;7;1;2;0;0;0;7;3;0.43
2;ONIC;ID-TP0007;Franco;2;3;3;5;1;2;1;2;1;50;2;4;15;4.25
3;ONIC;ID-TP0007;Bruno;4;7;4;6.67;0;0;1;2;3;75;11;7;19;4.29
4;ONIC;ID-TP0007;Fanny;3;5;16;26.67;13;22;43;72;2;66.67;13;3;10;7.67
5;ONIC;ID-TP0007;Hayabusa;10;17;15;25;5;8;16;27;7;70;47;17;50;5.71
6;ONIC;ID-TP0007;Chou;7;12;8;13.33;1;2;3;5;3;42.86;6;29;42;1.66
7;ONIC;ID-TP0007;Alpha;2;3;3;5;1;2;1;2;2;100;9;3;12;7
8;ONIC;ID-TP0007;Moskov;4;7;15;25;11;18;4;7;2;50;7;3;18;8.33
9;ONIC;ID-TP0007;Hilda;7;12;21;35;14;23;2;3;3;42.86;9;23;28;1.61
10;ONIC;ID-TP0007;Aurora;1;2;2;3.33;1;2;0;0;0;0;7;3;3;3.33
11;ONIC;ID-TP0007;Vexana;1;2;1;1.67;0;0;0;0;1;100;2;0;10;12
12;ONIC;ID-TP0007;Karrie;3;5;4;6.67;1;2;1;2;1;33.33;7;5;15;4.4
13;ONIC;ID-TP0007;Gatotkaca;12;20;17;28.33;5;8;2;3;6;50;11;45;81;2.04
14;ONIC;ID-TP0007;Irithel;9;15;10;16.67;1;2;5;8;6;66.67;20;10;45;6.5
15;ONIC;ID-TP0007;Lancelot;2;3;2;3.33;0;0;1;2;1;50;6;2;9;7.5
16;ONIC;ID-TP0007;Hylos;9;15;14;23.33;5;8;5;8;6;66.67;6;26;109;4.42
17;ONIC;ID-TP0007;Pharsa;16;27;26;43.33;10;17;9;15;9;56.25;39;26;101;5.38
18;ONIC;ID-TP0007;Jawhead;5;8;7;11.67;2;3;8;13;4;80;2;19;40;2.21
19;ONIC;ID-TP0007;Valir;1;2;1;1.67;0;0;0;0;0;0;4;2;8;6
20;ONIC;ID-TP0007;Kaja;2;3;2;3.33;0;0;0;0;2;100;5;2;19;12
21;ONIC;ID-TP0007;Selena;2;3;4;6.67;2;3;0;0;0;0;1;5;2;0.6
22;ONIC;ID-TP0007;Claude;6;10;8;13.33;2;3;3;5;4;66.67;10;10;33;4.3
23;ONIC;ID-TP0007;Hanzo;3;5;5;8.33;2;3;1;2;1;33.33;16;5;12;5.6
24;ONIC;ID-TP0007;Kimmy;5;8;7;11.67;2;3;5;8;4;80;28;10;40;6.8
25;ONIC;ID-TP0007;Harith;14;23;24;40;10;17;14;23;9;64.29;69;20;78;7.35
26;ONIC;ID-TP0007;Faramis;3;5;6;10;3;5;3;5;2;66.67;4;9;22;2.89
27;ONIC;ID-TP0007;Badang;19;32;20;33.33;1;2;13;22;15;78.95;36;54;174;3.89
28;ONIC;ID-TP0007;Granger;14;23;24;40;10;17;8;13;9;64.29;70;18;51;6.72
29;ONIC;ID-TP0007;Esmeralda;1;2;1;1.67;0;0;0;0;0;0;0;3;2;0.67
30;ONIC;ID-TP0007;X.Borg;2;3;2;3.33;0;0;1;2;2;100;5;1;11;16
31;ONIC;ID-TP0007;Ling;7;12;16;26.67;9;15;5;8;3;42.86;29;8;19;6
32;ONIC;ID-TP0007;Lylia;1;2;1;1.67;0;0;0;0;0;0;1;2;1;1
33;ONIC;ID-TP0007;Baxia;7;12;9;15;2;3;5;8;5;71.43;10;24;71;3.38
34;ONIC;ID-TP0007;Masha;2;3;7;11.67;5;8;4;7;2;100;10;5;10;4
35;ONIC;ID-TP0007;Wanwan;2;3;8;13.33;6;10;1;2;2;100;15;5;16;6.2
36;ONIC;ID-TP0007;Cecilion;7;12;7;11.67;0;0;2;3;5;71.43;20;7;63;11.86
37;ONIC;ID-TP0007;Luo Yi;7;12;13;21.67;6;10;38;63;6;85.71;16;6;81;16.17
38;ONIC;ID-TP0007;Benedetta;2;3;2;3.33;0;0;1;2;2;100;8;4;6;3.5
39;ONIC;ID-TP0007;Khaleed;3;5;3;5;0;0;2;3;2;66.67;2;15;21;1.53
40;ONIC;ID-TP0007;Yve;8;13;13;21.67;5;8;12;20;5;62.5;17;14;79;6.86
41;ONIC;ID-TP0007;Paquito;2;3;2;3.33;0;0;0;0;2;100;6;0;7;13
42;ONIC;ID-TP0007;Gloo;11;18;20;33.33;9;15;10;17;8;72.73;13;26;78;3.5
43;ONIC;ID-TP0007;Beatrix;3;5;6;10;3;5;3;5;1;33.33;12;3;12;8
44;ONIC;ID-TP0007;Phoveus;7;12;24;40;17;28;7;12;2;28.57;10;32;47;1.78
45;ONIC;ID-TP0007;Valentina;5;8;5;8.33;0;0;10;17;3;60;11;7;39;7.14
46;ONIC;ID-TP0007;Julian;1;2;1;1.67;0;0;0;0;1;100;3;3;4;2.33
47;ONIC;ID-TP0007;Fredrinn;1;2;6;10;5;8;3;5;1;100;9;0;7;16
48;ONIC;ID-TP0007;Joy;12;20;31;51.67;19;32;8;13;5;41.67;58;16;40;6.13
49;ONIC;ID-TP0007;Arlott;1;2;1;1.67;0;0;0;0;0;0;0;6;3;0.5
50;ONIC;ID-TP0007;Nolan;1;2;1;1.67;0;0;0;0;0;0;1;4;7;2
51;ONIC;ID-TP0007;Cici;9;15;14;23.33;5;8;8;13;6;66.67;30;24;74;4.33
52;ONIC;ID-TP0007;Chip;5;8;32;53.33;27;45;6;10;2;40;1;18;26;1.5
53;ONIC;ID-TP0007;Zhuxin;4;7;32;53.33;28;47;12;20;2;50;6;7;26;4.57
54;ONIC;ID-TP0007;Suyou;11;18;16;26.67;5;8;3;5;7;63.64;46;17;53;5.82
55;ONIC;ID-TP0007;lukas;1;2;14;23.33;13;22;1;2;1;100;4;5;10;2.8
56;ONIC;ID-TP0007;Kalea;10;17;20;33.33;10;17;6;10;7;70;14;31;72;2.77
57;ONIC;ID-TP0007;Yi Sun-shin;0;0;4;6.67;4;7;0;0;0;0;0;0;0;0
58;ONIC;ID-TP0007;Mathilda;0;0;13;21.67;13;22;0;0;0;0;0;0;0;0
59;ONIC;ID-TP0007;Edith;0;0;1;1.67;1;2;0;0;0;0;0;0;0;0
